rank,handle,rating,uncertainty,games,win_rate,activity
501–765,JimmyButler_AoE,7xx–14xx,68,616,37.3,last 2 weeks
501–765,Joker,7xx–14xx,98,232,42.7,last 2 weeks
501–765,Just_say_gg_bruh,7xx–14xx,175,65,38.5,31–60 days
501–765,kango,7xx–14xx,155,64,39.1,last 2 weeks
501–765,Kapiteinterreur,7xx–14xx,195,58,44.8,last 2 weeks
501–765,KAREL,7xx–14xx,128,219,34.7,last 2 weeks
501–765,kasap_hasan,7xx–14xx,82,433,54.0,31–60 days
501–765,kataparuto_pleb,7xx–14xx,85,375,42.1,last 2 weeks
501–765,Katnip,7xx–14xx,69,805,45.2,31–60 days
501–765,KEBACEE,7xx–14xx,187,62,41.9,31–60 days
501–765,KeremS,7xx–14xx,114,294,53.1,last 2 weeks
501–765,Ketan67,7xx–14xx,126,179,40.8,last 2 weeks
501–765,Kilian,7xx–14xx,164,76,43.4,last 2 weeks
501–765,Killing_Bambi,7xx–14xx,107,250,38.4,last 2 weeks
501–765,King Gabb,7xx–14xx,159,70,28.6,last 2 weeks
501–765,Kitiastri,7xx–14xx,161,62,43.5,last 2 weeks
501–765,Komifar,7xx–14xx,188,84,45.2,61–100 days
501–765,kyugaloric_I,7xx–14xx,162,89,46.1,last 2 weeks
501–765,Landi,7xx–14xx,141,161,39.1,last 2 weeks
501–765,Lastmantillidie,7xx–14xx,200,59,40.7,last 2 weeks
501–765,leaftopjo,7xx–14xx,124,219,41.1,last 2 weeks
501–765,LeoABNV,7xx–14xx,167,66,37.9,last 2 weeks
501–765,Lhypopead,7xx–14xx,73,599,50.8,last 2 weeks
501–765,Link,7xx–14xx,86,407,49.4,last 2 weeks
501–765,LM | RenLo,7xx–14xx,154,75,45.3,last 2 weeks
501–765,LM | TornardoBriese,7xx–14xx,191,74,32.4,15–30 days
501–765,LordCow,7xx–14xx,109,262,42.7,last 2 weeks
501–765,Lucky,7xx–14xx,114,321,53.0,last 2 weeks
501–765,Lucky Camel,7xx–14xx,60,984,47.9,15–30 days
501–765,Luis Enrique,7xx–14xx,161,91,50.5,15–30 days
501–765,Lynx,7xx–14xx,141,131,48.9,last 2 weeks
501–765,machpatel,7xx–14xx,145,125,45.6,last 2 weeks
501–765,Magnificent,7xx–14xx,126,111,40.5,last 2 weeks
501–765,masterjft,7xx–14xx,147,117,42.7,last 2 weeks
501–765,mattGPT,7xx–14xx,199,55,50.9,31–60 days
501–765,Mavericks,7xx–14xx,103,210,31.4,last 2 weeks
501–765,mdbm,7xx–14xx,99,325,52.0,last 2 weeks
501–765,MEM,7xx–14xx,169,73,45.2,last 2 weeks
501–765,Men Call Me Gladiator,7xx–14xx,176,73,42.5,15–30 days
