rank,handle,rating,uncertainty,games,win_rate,activity
176,MrGuler,1938,39,2433,55.5,last 2 weeks
177,lxnmnk Trade | B | S,1937,265,114,54.4,15–30 days
178,TheRealRuClEsHe,1934,77,658,53.0,last 2 weeks
179,TrustMeBro,1933,189,69,55.1,15–30 days
180,Bob Ross,1932,54,1369,57.1,last 2 weeks
181,Alfred,1930,189,162,49.4,last 2 weeks
182,lion_,1927,31,3308,52.8,last 2 weeks
183,36,1924,35,3728,51.8,last 2 weeks
184,Heassa,1923,80,730,53.4,last 2 weeks
185,obi11,1922,121,379,58.8,61–100 days
186,Puttsson,1919,79,1006,47.0,15–30 days
187,Saliniho,1918,82,652,50.5,61–100 days
188,Bourne2Believe,1918,52,1400,52.4,last 2 weeks
189,darkovichhh,1918,48,1527,60.6,last 2 weeks
190,RoR | Loris,1916,122,185,38.4,15–30 days
191,nono12,1913,104,361,42.9,31–60 days
192,hobbes,1911,137,382,50.8,61–100 days
193,Bread Pudding With Bum Sauce,1911,157,110,58.2,last 2 weeks
194,The Punisher,1910,44,1847,52.7,last 2 weeks
195,BøM_Haiya Boar野豬兄,1907,103,295,55.6,31–60 days
196,SG,1904,54,1037,52.1,last 2 weeks
197,Hellsum,1904,111,154,51.3,last 2 weeks
198,Ronin,1901,51,1824,49.3,last 2 weeks
199,RoR | zWraithhh,1901,48,1459,50.7,last 2 weeks
200,Bryan_Camane,1899,95,542,52.0,15–30 days
201,Cyborg,1898,49,1020,46.6,last 2 weeks
202,Pollux,1896,95,580,51.6,last 2 weeks
203,major_myth,1894,43,2385,57.7,last 2 weeks
204,Mycroft,1894,48,2090,49.4,last 2 weeks
205,Shambhala,1893,85,472,53.2,31–60 days
206,Happytheandy,1889,90,423,45.6,15–30 days
207,sekiro,1887,68,1088,56.5,61–100 days
208,[Nors] OG DADDY,1886,49,1586,47.9,last 2 weeks
209,最爱吃小面包,1886,167,270,48.1,15–30 days
210,CQ.MaSSa_V,1885,208,58,58.6,last 2 weeks
211,OS | 展毅,1881,186,55,43.6,last 2 weeks
212,noah!!!!!!!!!!,1873,65,768,45.4,last 2 weeks
213,Aldeano,1866,106,429,63.2,last 2 weeks
214,Gripen,1863,45,2842,49.2,31–60 days
215,MembTV,1862,34,4548,47.8,last 2 weeks
216,Nach Being Nice,1862,32,4318,54.1,last 2 weeks
217,Nick v2,1860,79,372,53.5,last 2 weeks
218,TheBoogeyman,1857,60,893,57.6,last 2 weeks
219,Bruh,1855,63,1036,52.8,last 2 weeks
220,[GER] Paeco,1855,61,1107,51.7,last 2 weeks
221,BuLLeT_,1855,104,269,37.9,last 2 weeks
222,Audi performance,1854,88,683,47.9,15–30 days
223,海淀天胡棋圣,1849,50,1403,51.5,last 2 weeks
224,IAmCharlieKirk67DiddyFan,1847,126,162,54.9,15–30 days
225,fdd,1846,47,1857,47.4,last 2 weeks
226,DJ Heartstring,1846,75,776,53.4,last 2 weeks
227,Tendo,1843,83,442,56.6,last 2 weeks
228,zaanosaurus,1842,110,316,50.6,15–30 days
229,Granny Pumpkinz,1841,45,2279,54.8,last 2 weeks
230,erich_hub,1832,112,326,54.6,15–30 days
231,Kalamalahala,1832,109,267,56.2,last 2 weeks
232,tftnadi,1832,68,470,54.7,last 2 weeks
233,[BÜN#1] Heidewolf,1826,87,338,45.3,last 2 weeks
234,TuTas,1824,91,490,45.9,last 2 weeks
235,Asur,1824,253,53,54.7,61–100 days
236,Vermilionz,1823,48,1114,52.2,last 2 weeks
237,Kazi,1822,56,1361,49.9,last 2 weeks
238,[BÜN] Schmirgel,1820,131,140,50.0,last 2 weeks
239,Holland,1818,95,542,42.6,31–60 days
240,ShahMoney,1817,37,3650,44.6,last 2 weeks
241,kibou,1817,79,914,51.5,15–30 days
242,Instinct,1814,64,1090,54.7,15–30 days
243,DeJected_R,1811,79,608,57.4,last 2 weeks
244,Satsuma,1804,158,151,51.0,15–30 days
245,Biner,1804,160,64,51.6,last 2 weeks
246,Zeriel,1803,78,437,58.4,last 2 weeks
247,Crankshaft,1801,124,220,46.8,31–60 days
248,The .Gocho,1799,81,669,51.4,last 2 weeks
249,西溪梨,1797,120,165,50.9,last 2 weeks
250,Youtube / Saqo Age of empires 2,1796,109,220,50.5,last 2 weeks
251,Aten,1794,64,857,42.5,last 2 weeks
252,Denosumab,1794,75,564,54.8,last 2 weeks
253,RoR | Carnage_,1793,185,65,33.8,last 2 weeks
254,F A L C O N 2 1 _ z Z,1789,154,299,47.8,31–60 days
255,rhinodog,1786,153,73,47.9,61–100 days
256,Darkculvert,1782,62,1076,50.6,61–100 days
257,Varjoti,1775,108,194,50.5,last 2 weeks
258,404,1774,110,149,55.0,last 2 weeks
259,Joey the Bonqueror,1772,239,98,54.1,last 2 weeks
260,LearningNewCivsPlsHelp,1772,200,69,59.4,61–100 days
261,PeePee,1772,84,510,52.7,last 2 weeks
262,URU ALBO,1769,162,81,37.0,last 2 weeks
263,meathman31,1769,107,177,52.5,31–60 days
264,Boost'Hate John,1768,115,227,45.8,last 2 weeks
265,veni,1766,181,193,60.1,last 2 weeks
266,langgefriend,1765,85,470,53.8,31–60 days
267,[SotC] Frank Castle,1764,103,272,49.3,last 2 weeks
268,_LT_feifei,1763,113,175,57.7,last 2 weeks
269,Alian713,1761,268,65,61.5,last 2 weeks
270,nalle k,1758,213,64,42.2,31–60 days
271,alumin,1754,198,71,59.2,61–100 days
272,Revy,1753,149,228,43.9,last 2 weeks
273,MARIJUANA_LUNG,1748,76,485,61.0,last 2 weeks
274,FlowerHorn,1747,78,408,57.8,last 2 weeks
275,ButterNToastThe3rd,1746,235,52,36.5,61–100 days
276,Kevin FoJ,1746,36,3286,49.5,last 2 weeks
277,DADDY_Sensation,1745,48,1669,53.1,last 2 weeks
278,TheZero,1740,198,52,42.3,last 2 weeks
279,MooN | MooN,1740,98,200,45.0,last 2 weeks
280,hamxaishfaq95,1739,167,123,57.7,61–100 days
281,AgentP_97,1736,96,372,48.7,last 2 weeks
282,Marbas,1735,146,132,56.8,last 2 weeks
283,Nerv,1734,45,1754,45.5,last 2 weeks
284,Timbrhoggvandi,1733,279,59,57.6,last 2 weeks
285,Prince <3,1732,32,3127,54.2,last 2 weeks
286,NOC | Mr.Dobbsn,1727,249,88,47.7,15–30 days
287,Tokugawa,1724,83,522,50.6,last 2 weeks
288,Deadbeat Dan,1716,48,1712,48.4,last 2 weeks
289,ChauNg,1716,187,132,54.5,61–100 days
290,MasterProber,1716,45,1238,51.1,last 2 weeks
291,Furret,1713,46,1517,52.1,last 2 weeks
292,LM | MaggieWuerze,1709,206,99,50.5,61–100 days
293,Kaydos,1708,150,264,43.2,31–60 days
294,3N1GMa_,1708,95,229,55.5,last 2 weeks
295,Don_Maximiliano,1706,139,140,51.4,last 2 weeks
296,Kondor,1704,64,1175,45.4,31–60 days
297,MrShelby_,1704,55,1110,43.5,31–60 days
298,Sony Toprano,1703,115,289,57.4,last 2 weeks
299,Inebriation,1700,34,3775,52.8,last 2 weeks
300,曰毛,1698,93,378,51.3,last 2 weeks
301,Pipistola,1694,177,71,53.5,15–30 days
302,rudymagallol,1692,168,118,50.8,31–60 days
303,knight_0701,1692,66,774,52.6,last 2 weeks
304,Immortal.S,1690,63,792,54.4,last 2 weeks
305,Tusky,1690,179,138,50.0,15–30 days
306,Phoetic,1690,58,698,42.7,last 2 weeks
307,Chaos,1688,57,1111,47.8,last 2 weeks
308,pukuyou,1688,194,63,54.0,31–60 days
309,Koti,1681,205,64,42.2,31–60 days
310,Wingardium Leviosa,1676,77,514,45.7,31–60 days
311,qso214,1675,58,829,46.2,last 2 weeks
312,Twitch_ActionMarc,1673,144,151,44.4,last 2 weeks
313,IBdaBoss,1673,42,2093,62.4,last 2 weeks
314,ForeverUnemployed,1673,145,103,53.4,last 2 weeks
315,SmithAoE,1673,173,60,61.7,15–30 days
316,MooN | Lunatico,1673,92,268,44.0,last 2 weeks
317,RoR | Smokealot,1672,104,254,40.2,last 2 weeks
318,Istar,1671,90,474,49.8,last 2 weeks
319,BigPoppaNoob,1670,138,245,51.0,31–60 days
320,ELEOS | Hitorek,1670,210,89,47.2,last 2 weeks
321,Mashirou,1670,147,119,46.2,last 2 weeks
322,WashedAt21,1670,129,135,51.1,31–60 days
323,Supersonic Rocketship,1669,152,101,49.5,31–60 days
324,watoncito,1668,111,182,46.2,last 2 weeks
325,LuRu99,1665,137,204,51.0,last 2 weeks
326,Choo Choo Chud,1665,171,59,50.8,31–60 days
327,synkaze,1663,142,118,58.5,15–30 days
328,Perfume,1660,76,514,51.0,31–60 days
329,Reilled,1659,113,252,46.4,last 2 weeks
330,hro_ros,1658,133,223,47.1,last 2 weeks
331,Bean goose,1658,86,439,50.1,last 2 weeks
332,奔向未来,1658,110,232,52.6,last 2 weeks
333,FayDingaway,1655,101,205,52.7,61–100 days
334,Artic_Nomad,1654,100,264,52.3,last 2 weeks
335,ValerioN__,1654,42,1976,47.9,61–100 days
336,Spooder,1646,78,449,41.2,31–60 days
337,Ogre,1643,61,995,44.4,15–30 days
338,<blank>,1639,185,147,49.7,31–60 days
339,Pala,1638,73,1042,50.8,31–60 days
340,ALBERT,1637,81,488,51.0,last 2 weeks
341,Voxer El Brazilian,1635,143,146,44.5,last 2 weeks
342,Diamonds,1633,84,728,40.2,31–60 days
343,Gekirin,1632,174,101,62.4,15–30 days
344,Trazbon,1631,173,65,61.5,last 2 weeks
345,Fts_,1631,81,314,48.4,last 2 weeks
346,Tam nsnd,1630,121,215,47.4,last 2 weeks
347,s56460688,1628,146,129,46.5,15–30 days
348,[LWS] Mandatum,1627,73,928,46.3,last 2 weeks
349,john,1626,62,741,50.3,last 2 weeks
350,Valar,1626,119,302,49.3,last 2 weeks
351,con_man1132,1626,115,263,51.0,15–30 days
352,Sublime,1625,170,131,43.5,15–30 days
353,Rogue Wave,1623,48,3429,46.4,31–60 days
354,blind_mist,1621,127,157,45.9,61–100 days
355,22,1621,80,386,54.7,last 2 weeks
356,JustAGecko,1620,125,293,45.4,15–30 days
357,Chtultuphant,1619,93,493,45.6,last 2 weeks
358,Rookie,1619,175,54,50.0,last 2 weeks
359,karpfen1337,1618,39,2572,47.1,last 2 weeks
360,nogamesforyou,1618,135,143,41.3,61–100 days
361,eldeniro,1616,178,126,51.6,15–30 days
362,PuflitoPisado,1614,105,262,55.3,last 2 weeks
363,sullied sphincter,1611,121,237,54.9,last 2 weeks
364,LM | Bumpi,1611,116,180,50.6,15–30 days
365,TIGER,1611,151,143,49.7,last 2 weeks
366,BSL | n0_chanc3,1610,98,386,39.9,31–60 days
367,FletcheR,1606,118,182,54.4,last 2 weeks
368,xLucky900,1605,170,75,54.7,31–60 days
369,Roboute Guilliman,1604,213,61,55.7,last 2 weeks
370,MACTSAI5125,1602,67,832,50.7,last 2 weeks
371,Ez4u2nv,1601,44,1604,53.6,last 2 weeks
372,Mirror,1598,60,740,53.0,31–60 days
373,[Nors]Zanato,1598,141,153,41.2,last 2 weeks
374,Enstrk,1598,47,1914,52.1,31–60 days
375,belphy,1597,100,298,46.6,61–100 days
376,Ace Of Emeralds,1597,212,61,34.4,15–30 days
377,Jozzif,1596,109,330,43.0,31–60 days
378,[KNOBI]Faultier321,1594,112,285,48.1,last 2 weeks
379,Luminance,1594,124,144,52.8,31–60 days
380,__67_7SmigoL._Arg,1594,124,120,35.8,last 2 weeks
381,Something Phoetic,1593,61,1068,41.3,61–100 days
382,parachutedreamer,1592,106,271,50.9,last 2 weeks
383,AT41,1590,139,227,47.1,last 2 weeks
384,Fenrir,1588,124,282,42.2,31–60 days
385,imugemorihasam,1587,57,880,55.0,last 2 weeks
386,Archers420,1586,196,81,61.7,61–100 days
387,PabloEscobar,1586,55,934,52.7,last 2 weeks
388,Serenity,1585,124,118,40.7,last 2 weeks
389,SorryIambusy,1581,69,564,47.5,last 2 weeks
390,TheJenonator,1581,79,543,52.7,last 2 weeks
391,SNWY4,1580,189,67,55.2,last 2 weeks
392,Bender,1578,93,269,43.1,last 2 weeks
393,Kalpit00,1575,99,352,36.1,last 2 weeks
394,Maurice_,1574,55,857,40.5,last 2 weeks
395,TopperHarley14,1573,210,56,42.9,15–30 days
396,LM | MaisterNippon,1571,179,59,52.5,last 2 weeks
397,HertOn,1569,64,767,50.7,last 2 weeks
398,武器大师,1567,43,2153,50.5,last 2 weeks
399,BderT,1566,91,412,54.9,last 2 weeks
400,ELEOS | wosm,1565,172,83,44.6,31–60 days
401,tannnt89,1560,183,71,45.1,61–100 days
402,stop_whining_start_winning,1560,69,578,49.8,15–30 days
403,[Glitchmob] Schnippi,1559,178,54,59.3,15–30 days
404,Force pickers are losers,1558,219,56,51.8,61–100 days
405,喷火龙biubiubiu,1558,60,974,46.5,last 2 weeks
406,Chevelle,1558,41,2009,51.5,last 2 weeks
407,KwiK,1551,149,170,48.2,61–100 days
408,Benedict Cucumberpatch,1547,63,765,49.0,last 2 weeks
409,Shemone,1547,118,272,46.3,31–60 days
410,bolimoli,1542,63,598,53.0,last 2 weeks
411,printp,1541,56,1031,51.9,last 2 weeks
412,shegin,1541,78,624,35.7,last 2 weeks
413,CD播放机,1540,296,58,34.5,last 2 weeks
414,TaNa,1540,179,58,50.0,15–30 days
415,saracast,1540,111,172,44.8,last 2 weeks
416,timmex,1538,41,3413,47.3,31–60 days
417,sco7ch,1537,79,860,49.8,last 2 weeks
418,Armitte,1536,56,722,48.6,last 2 weeks
419,BeardyMan37,1533,168,73,35.6,31–60 days
420,mob_ankit,1531,52,1021,49.2,last 2 weeks
421,Pandas United,1529,90,455,44.6,61–100 days
422,[Odst] Sheppard,1529,203,119,41.2,15–30 days
423,JustShutUpandCarryMe,1528,146,82,52.4,last 2 weeks
424,mrowdet,1527,136,117,53.8,31–60 days
425,Frankie Fast Hands,1527,165,53,47.2,last 2 weeks
426,TRex,1526,80,773,43.5,last 2 weeks
427,koebi,1526,125,127,52.0,last 2 weeks
428,Kn0wn,1525,32,3147,53.3,last 2 weeks
429,Monkey_D_Luffy,1524,89,512,44.9,last 2 weeks
430,Azulazar,1523,55,1434,47.8,last 2 weeks
431,mystic,1523,168,75,48.0,61–100 days
432,Swiemsta,1521,150,72,51.4,15–30 days
433,aaahfef,1517,123,112,50.0,last 2 weeks
434,Nheltarion,1516,192,51,49.0,last 2 weeks
435,Mushu Nooooo,1516,132,102,53.9,31–60 days
436,Mr.J,1515,86,310,51.9,last 2 weeks
437,爱吃软软,1510,97,441,48.1,61–100 days
438,Noname,1509,94,494,43.5,61–100 days
439,Pr3mier,1509,85,547,41.7,last 2 weeks
440,Go-Toba,1508,133,172,41.9,61–100 days
441,dinkydinks,1507,79,446,48.2,15–30 days
442,Brad Elliott,1507,113,172,45.9,last 2 weeks
443,A-V (JustOnePixeL),1506,155,223,49.3,last 2 weeks
444,BabaYaga,1506,62,679,44.2,last 2 weeks
445,iamhely,1505,79,835,44.3,last 2 weeks
446,RoR | Váša,1505,148,133,43.6,last 2 weeks
447,Kaiko,1505,184,58,53.4,last 2 weeks
448,Richard Rahl,1504,163,66,34.8,15–30 days
449,mt,1503,193,140,37.9,15–30 days
450,EMMM | GothBert,1502,89,608,43.4,last 2 weeks
451,win27,1502,45,2038,52.1,last 2 weeks
452,SirBrenner,1501,153,154,37.7,15–30 days
453,Snake,1501,152,113,57.5,last 2 weeks
454,MysticCloudZ,1497,32,3965,44.2,31–60 days
455,Don'tHateThePlayer_HateTheLame,1496,107,246,50.8,last 2 weeks
456,Nduku,1493,180,73,47.9,15–30 days
457,ntlbee,1492,63,812,48.6,last 2 weeks
458,wackadoodle,1492,152,109,46.8,last 2 weeks
459,NavYellow,1492,164,123,46.3,31–60 days
460,fax.exe,1491,139,104,43.3,61–100 days
461,[Gaucho]Batata,1488,214,51,39.2,61–100 days
462,master,1488,191,74,48.6,31–60 days
463,anykind,1488,82,548,42.5,last 2 weeks
464,CEASAR,1487,93,226,57.1,last 2 weeks
465,wantin,1486,153,248,41.9,15–30 days
466,oldxavier,1485,151,109,47.7,last 2 weeks
467,Bulzer,1482,190,68,47.1,31–60 days
468,Tanu,1482,152,80,46.2,31–60 days
469,OSpL,1481,66,1182,49.2,last 2 weeks
470,LM | Perce1992,1481,153,83,49.4,last 2 weeks
471,scottakira,1480,88,425,43.3,last 2 weeks
472,BGUS_西施PLMM,1480,236,60,55.0,61–100 days
473,Veci,1480,53,1424,42.2,61–100 days
474,JayZaddy,1479,108,267,48.7,61–100 days
475,Maxen,1479,64,749,44.9,last 2 weeks
476,Kenan Yildiz,1478,184,63,39.7,last 2 weeks
477,ϟOLIϟ LautaLk,1473,216,61,32.8,61–100 days
478,Baykhal,1473,124,166,45.8,61–100 days
479,Fizban,1473,95,223,39.0,last 2 weeks
480,Zaffo,1471,186,60,38.3,15–30 days
481,Nima_IR,1471,134,147,40.1,31–60 days
482,Zni.Kark01,1470,90,248,46.4,last 2 weeks
483,TDI,1470,221,72,44.4,last 2 weeks
484,Old Man Cam,1469,92,358,49.2,last 2 weeks
485,babelfisch,1469,42,1937,42.4,last 2 weeks
486,MrWrong,1469,80,589,45.2,last 2 weeks
487,the_1king,1468,83,675,49.3,31–60 days
488,Yakan,1468,96,488,50.2,61–100 days
489,^wuff,1468,142,144,45.1,61–100 days
490,InGodWeTrust,1467,27,5464,43.5,last 2 weeks
491,Derrek,1466,79,547,50.8,61–100 days
492,Haider_435,1466,138,127,55.1,last 2 weeks
493,sliu132,1465,113,248,43.1,last 2 weeks
494,Kergin,1464,155,113,44.2,31–60 days
495,trói em vào cột điện,1461,137,120,38.3,15–30 days
496,RedPanda,1461,43,1828,50.1,last 2 weeks
497,Migulu,1461,45,1339,50.5,last 2 weeks
498,jaktol,1457,152,179,43.6,last 2 weeks
499,Orinoco,1457,161,107,50.5,last 2 weeks
500,Locke,1455,91,301,44.2,last 2 weeks
501–765,'lu,7xx–14xx,141,128,41.4,last 2 weeks
501–765,+++++,7xx–14xx,63,652,45.4,last 2 weeks
501–765,-TL- XERSVIRUS,7xx–14xx,125,176,40.9,last 2 weeks
501–765,.assisT,7xx–14xx,121,151,43.7,15–30 days
501–765,95,7xx–14xx,251,60,40.0,last 2 weeks
501–765,????????,7xx–14xx,202,57,40.4,15–30 days
501–765,[3xT]Vantage_,7xx–14xx,81,443,45.1,last 2 weeks
501–765,[Anvil] Nikolettafraoula,7xx–14xx,35,3186,35.7,last 2 weeks
501–765,[AoHD] Milmano,7xx–14xx,161,68,35.3,31–60 days
501–765,[GDL] Aleex,7xx–14xx,101,325,52.3,15–30 days
501–765,[HR] Cpt. Haddock,7xx–14xx,129,150,40.7,last 2 weeks
501–765,[SP4RT] Petza IV.,7xx–14xx,172,52,40.4,31–60 days
501–765,_kill3rJ,7xx–14xx,158,106,48.1,61–100 days
501–765,AangMaster,7xx–14xx,82,544,47.4,last 2 weeks
501–765,afranciscosa,7xx–14xx,139,117,43.6,last 2 weeks
501–765,Agro,7xx–14xx,165,68,45.6,31–60 days
501–765,ajja13849,7xx–14xx,184,97,38.1,15–30 days
501–765,Alicat,7xx–14xx,214,51,25.5,15–30 days
501–765,ALTAR_KHAN,7xx–14xx,179,64,42.2,31–60 days
501–765,andreasnikolas,7xx–14xx,41,2301,42.9,last 2 weeks
501–765,angelggh95,7xx–14xx,148,113,41.6,last 2 weeks
501–765,anotheraoe2player,7xx–14xx,126,168,45.8,61–100 days
501–765,ANTIFA,7xx–14xx,112,230,35.2,last 2 weeks
501–765,Ates,7xx–14xx,155,132,54.5,31–60 days
501–765,Aura,7xx–14xx,177,91,35.2,61–100 days
501–765,Bambs,7xx–14xx,89,376,41.2,last 2 weeks
501–765,banana panin,7xx–14xx,45,1536,46.6,last 2 weeks
501–765,BananaMan,7xx–14xx,190,64,56.2,31–60 days
